Layer,Name,GEOID,Population,Longitude,Latitude,HDX_2015-2019,HDX_2011-2015,
Community area,Rogers Park,1,52772,-87.670171,42.00963,61.63058518,64.74163675,-3.111051566
Community area,Norwood Park,10,41109,-87.803451,41.985248,22.13973836,25.62461352,-3.484875164
Community area,Jefferson Park,11,26201,-87.771165,41.978836,38.30442405,47.04986655,-8.7454425
Community area,Forest Glen,12,19579,-87.758358,41.993938,16.69664745,16.56826079,0.128386654
Community area,North Park,13,17522,-87.723578,41.983651,50.36472084,46.62442192,3.740298924
Community area,Albany Park,14,48549,-87.721558,41.968078,59.7369009,65.43636549,-5.699464596
Community area,Portage Park,15,63038,-87.763401,41.954043,48.10723749,51.97827722,-3.871039729
Community area,Irving Park,16,51911,-87.723457,41.953589,32.29548269,45.51183462,-13.21635193
Community area,Dunning,17,43120,-87.806015,41.946522,36.36112855,43.34329585,-6.982167298
Community area,Montclare,18,14412,-87.798033,41.929306,59.70596593,73.820642,-14.11467607
Community area,Belmont Cragin,19,78151,-87.765502,41.927275,79.47284267,84.45093655,-4.978093878
Community area,West Ridge,2,77139,-87.695017,42.001583,71.53376827,69.11976154,2.414006728
Community area,Hermosa,20,24127,-87.734741,41.924353,77.54939625,84.69709149,-7.147695243
Community area,Avondale,21,36245,-87.711219,41.938673,50.03811097,68.03726236,-17.99915139
Community area,Logan Square,22,71742,-87.699149,41.922768,22.27813216,34.27222184,-11.99408969
Community area,Humboldt Park,23,53832,-87.720917,41.90008,86.8238451,90.81281365,-3.988968556
Community area,West Town,24,87942,-87.676358,41.901216,11.85767275,24.15978228,-12.30210953
Community area,Austin,25,96753,-87.763117,41.894113,76.46892918,82.39498596,-5.926056782
Community area,West Garfield Park,26,17423,-87.730233,41.878602,94.9924952,93.5410402,1.451455
Community area,East Garfield Park,27,19995,-87.705892,41.878923,93.20878665,91.30060111,1.908185539
Community area,Near West Side,28,67817,-87.663513,41.874016,50.94110412,49.22382997,1.717274152
Community area,North Lawndale,29,34817,-87.717218,41.860197,88.74929629,92.78934511,-4.04004882
Community area,Uptown,3,52255,-87.655899,41.965822,29.55120426,34.82262431,-5.271420057
Community area,South Lawndale,30,71402,-87.714,41.839091,94.12451335,92.54362564,1.580887709
Community area,Lower West Side,31,33716,-87.66757,41.850277,61.47373077,87.68087198,-26.20714121
Community area,Loop,32,39135,-87.625194,41.878881,4.252745034,3.826530394,0.42621464
Community area,Near South Side,33,27044,-87.620344,41.857196,2.648196293,9.882059928,-7.233863635
Community area,Armour Square,34,13847,-87.633976,41.842083,90.94099942,89.72265905,1.218340363
Community area,Douglas,35,17630,-87.61868,41.835122,61.73841386,63.55468407,-1.816270207
Community area,Oakland,36,4280,-87.603217,41.823754,80.88065199,80.22806595,0.652586041
Community area,Fuller Park,37,2549,-87.632427,41.809082,95.30105473,92.82495474,2.476099989
Community area,Grand Boulevard,38,24586,-87.61786,41.812947,78.99573848,83.34919459,-4.353456113
Community area,Kenwood,39,14716,-87.596186,41.808918,36.1475687,45.1000931,-8.9525244
Community area,Lincoln Square,4,40412,-87.687513,41.975182,18.23854884,28.93457383,-10.696025
