Layer,Name,GEOID,Population,Longitude,Latitude,RBU_2011-2015,RBU_2012-2016,RBU_2013-2017,RBU_2014-2018,RBU_2015-2019,RBU_2016-2020
(Indicator name),,,,,,"Rent-burdened (% of renter-occupied housing units), 2011-2015","Rent-burdened (% of renter-occupied housing units), 2012-2016","Rent-burdened (% of renter-occupied housing units), 2013-2017","Rent-burdened (% of renter-occupied housing units), 2014-2018","Rent-burdened (% of renter-occupied housing units), 2015-2019","Rent-burdened (% of renter-occupied housing units), 2016-2020"
(Definition),,,,,,"Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees."
(Citation),,,,,,"American Community Survey (Table B25070)","American Community Survey (Table B25070)","American Community Survey (Table B25070)","American Community Survey (Table B25070)","American Community Survey (Table B25070)","American Community Survey (Table B25070)"
---,---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,52772,-87.67017100,42.00963000,53.9683233292651,55.2046267279222,54.1462702822904,54.026190544153,52.5956820998596,51.286307879456
Community area,Norwood Park,10,41109,-87.80345100,41.98524800,38.0394770561378,41.9857511472756,41.8496801641861,45.7456854558405,41.4993197021181,40.6907238710018
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,42.266616264814,39.8810401301403,38.7924459907069,36.3836556278791,40.4029877583212,39.7911002359232
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,53.8796103537711,44.848736073627,42.3754710502713,45.2997297722569,40.6477945255884,28.782325472019
Community area,North Park,13,17522,-87.72357800,41.98365100,39.3481230073638,39.6414076650339,40.1230739104588,43.125710945381,41.1443892081732,37.8946511505483
Community area,Albany Park,14,48549,-87.72155800,41.96807800,48.8223460274172,44.2053118936412,44.1776228546088,42.6581270191212,41.6826915210769,39.7081751646813
