,Name,GEOID,Population,Longitude,Latitude,2015-2019,2011-2015,Difference between Time Frames
0,Rogers Park,1,52772,-87.670171,42.00963,61.63058518,64.74163675,23.096089644
1,Norwood Park,10,41109,-87.803451,41.985248,22.13973836,25.62461352,22.722266046
2,Jefferson Park,11,26201,-87.771165,41.978836,38.30442405,47.04986655,17.46169871
3,Forest Glen,12,19579,-87.758358,41.993938,16.69664745,16.56826079,26.335527864
4,North Park,13,17522,-87.723578,41.983651,50.36472084,46.62442192,29.947440134
5,Albany Park,14,48549,-87.721558,41.968078,59.7369009,65.43636549,20.507676613999998
6,Portage Park,15,63038,-87.763401,41.954043,48.10723749,51.97827722,22.336101481
7,Irving Park,16,51911,-87.723457,41.953589,32.29548269,45.51183462,12.99078928
8,Dunning,17,43120,-87.806015,41.946522,36.36112855,43.34329585,19.224973912
9,Montclare,18,14412,-87.798033,41.929306,59.70596593,73.820642,12.09246514
10,Belmont Cragin,19,78151,-87.765502,41.927275,79.47284267,84.45093655,21.229047332
11,West Ridge,2,77139,-87.695017,42.001583,71.53376827,69.11976154,28.621147938
12,Hermosa,20,24127,-87.734741,41.924353,77.54939625,84.69709149,19.059445967
13,Avondale,21,36245,-87.711219,41.938673,50.03811097,68.03726236,8.207989819999998
14,Logan Square,22,71742,-87.699149,41.922768,22.27813216,34.27222184,14.21305152
15,Humboldt Park,23,53832,-87.720917,41.90008,86.8238451,90.81281365,22.218172654
16,West Town,24,87942,-87.676358,41.901216,11.85767275,24.15978228,13.90503168
17,Austin,25,96753,-87.763117,41.894113,76.46892918,82.39498596,20.281084428
18,West Garfield Park,26,17423,-87.730233,41.878602,94.9924952,93.5410402,27.65859621
19,East Garfield Park,27,19995,-87.705892,41.878923,93.20878665,91.30060111,28.115326749
20,Near West Side,28,67817,-87.663513,41.874016,50.94110412,49.22382997,27.924415362
21,North Lawndale,29,34817,-87.717218,41.860197,88.74929629,92.78934511,22.16709239
22,Uptown,3,52255,-87.655899,41.965822,29.55120426,34.82262431,20.935721153
23,South Lawndale,30,71402,-87.714,41.839091,94.12451335,92.54362564,27.788028919
24,Lower West Side,31,33716,-87.66757,41.850277,61.47373077,87.68087198,0.0
25,Loop,32,39135,-87.625194,41.878881,4.252745034,3.826530394,26.63335585
26,Near South Side,33,27044,-87.620344,41.857196,2.648196293,9.882059928,18.973277575
27,Armour Square,34,13847,-87.633976,41.842083,90.94099942,89.72265905,27.425481573
28,Douglas,35,17630,-87.61868,41.835122,61.73841386,63.55468407,24.390871003
29,Oakland,36,4280,-87.603217,41.823754,80.88065199,80.22806595,26.859727251
30,Fuller Park,37,2549,-87.632427,41.809082,95.30105473,92.82495474,28.683241199
31,Grand Boulevard,38,24586,-87.61786,41.812947,78.99573848,83.34919459,21.853685097
32,Kenwood,39,14716,-87.596186,41.808918,36.1475687,45.1000931,17.25461681
33,Lincoln Square,4,40412,-87.687513,41.975182,18.23854884,28.93457383,15.511116209999999
34,Washington Park,40,12709,-87.617936,41.792356,91.85211989,92.54782611,25.511434983
35,Hyde Park,41,23914,-87.592305,41.794088,30.34573245,29.71442949,26.838444179
36,Woodlawn,42,24630,-87.594924,41.778877,84.42099965,82.40242722,28.22571364
37,South Shore,43,45611,-87.57279,41.761583,78.7679884,83.98784616,20.98728345
